公司代號,公司名稱,統一編號,_統一編號
2732,六角國際事業股份有限公司,"	80671769","_	80671769"
2733,維格餅家股份有限公司,"	80490319","_	80490319"
2734,易飛網國際旅行社股份有限公司,"	70464468","_	70464468"
2736,高野大飯店股份有限公司,"	29129201","_	29129201"
2739,寒舍餐旅管理顧問股份有限公司,"	70471881","_	70471881"
2740,天蔥國際股份有限公司,"	28581041","_	28581041"
2741,人杰老四川餐飲管理顧問股份有限公司,"	28836494","_	28836494"
2743,山富國際旅行社股份有限公司,"	22888987","_	22888987"
2745,五福旅行社股份有限公司,"	22835878","_	22835878"
2748,雲品國際酒店股份有限公司,"	54023418","_	54023418"
2750,桃禧航空城大飯店股份有限公司,"	24395427","_	24395427"
2751,王座國際餐飲股份有限公司,"	42756204","_	42756204"
2752,豆府股份有限公司,"	28841757","_	28841757"
2753,八方雲集國際股份有限公司,"	70472679","_	70472679"
2754,亞洲藏壽司股份有限公司,"	54669129","_	54669129"
2755,揚秦國際企業股份有限公司,"	42591908","_	42591908"
2801,彰化商業銀行股份有限公司,"	51811609","_	51811609"
2807,渣打國際商業銀行股份有限公司,"	46479103","_	46479103"
2809,京城商業銀行股份有限公司,"	68921101","_	68921101"
2812,台中商業銀行股份有限公司,"	51816908","_	51816908"
2816,旺旺友聯產物保險股份有限公司,"	03110001","_	03110001"
2820,中華票券金融股份有限公司,"	12198359","_	12198359"
2823,中國人壽保險股份有限公司,"	03434016","_	03434016"
2832,台灣產物保險股份有限公司,"	03557115","_	03557115"
2833,台灣人壽保險股份有限公司,"	03557017","_	03557017"
2834,臺灣中小企業銀行股份有限公司,"	03793407","_	03793407"
2836,高雄銀行股份有限公司,"	79854797","_	79854797"
2837,凱基商業銀行股份有限公司,"	86517321","_	86517321"
2838,聯邦商業銀行股份有限公司,"	86380802","_	86380802"
2841,台灣土地開發股份有限公司,"	03701104","_	03701104"
2845,遠東國際商業銀行股份有限公司,"	86517096","_	86517096"
2848,華南產物保險股份有限公司,"	03415101","_	03415101"
2849,安泰商業銀行股份有限公司,"	86928561","_	86928561"
2850,新光產物保險股份有限公司,"	03458403","_	03458403"
2851,中央再保險股份有限公司,"	11081991","_	11081991"
2852,第一產物保險股份有限公司,"	03359109","_	03359109"
2855,統一綜合證券股份有限公司,"	23218183","_	23218183"
2856,元富證券股份有限公司,"	23357868","_	23357868"
2858,中租迪和股份有限公司,"	05072925","_	05072925"
2863,泰安產物保險股份有限公司,"	03336704","_	03336704"
2867,三商美邦人壽保險股份有限公司,"	84443471","_	84443471"
2872,台灣票券金融股份有限公司,"	89396292","_	89396292"
2873,大中票券金融股份有限公司,"	89391748","_	89391748"
2874,萬通票券金融股份有限公司,"	89398334","_	89398334"
2876,宏泰人壽保險股份有限公司,"	84894313","_	84894313"
2877,國泰世紀產物保險股份有限公司,"	84445772","_	84445772"
2880,華南金融控股股份有限公司,"	70826764","_	70826764"
2881,富邦金融控股股份有限公司,"	03374805","_	03374805"
2882,國泰金融控股股份有限公司,"	70827406","_	70827406"
2883,中華開發金融控股股份有限公司,"	70827383","_	70827383"
