公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
1474,_1474,弘裕企業股份有限公司,58003997,_	58003997,上市
1475,_1475,台灣業旺股份有限公司,23912057,_	23912057,上市
1476,_1476,儒鴻企業股份有限公司,35884479,_	35884479,上市
1477,_1477,聚陽實業股份有限公司,23609668,_	23609668,上市
1480,_1480,東盟開發實業股份有限公司,88121697,_	88121697,公開發行
1489,_1489,日南紡織股份有限公司,56039219,_	56039219,不繼續公開發行
1503,_1503,士林電機廠股份有限公司,11039306,_	11039306,上市
1504,_1504,東元電機股份有限公司,11332202,_	11332202,上市
1506,_1506,正道工業股份有限公司,68193807,_	68193807,上市
1507,_1507,永大機電工業股份有限公司,11166702,_	11166702,不繼續公開發行
1512,_1512,瑞利企業股份有限公司,85330636,_	85330636,上市
1513,_1513,中興電工機械股份有限公司,33029464,_	33029464,上市
1514,_1514,亞力電機股份有限公司,3213392,_	03213392,上市
1515,_1515,力山工業股份有限公司,55759180,_	55759180,上市
1516,_1516,川飛能源股份有限公司,22071751,_	22071751,上市
1517,_1517,利奇機械工業股份有限公司,59008318,_	59008318,上市
1519,_1519,華城電機股份有限公司,33284077,_	33284077,上市
1521,_1521,大億交通工業製造股份有限公司,69408876,_	69408876,上市
1522,_1522,堤維西交通工業股份有限公司,22269487,_	22269487,上市
1524,_1524,耿鼎企業股份有限公司,22081250,_	22081250,上市
1525,_1525,江申工業股份有限公司,35129100,_	35129100,上市
1526,_1526,日馳企業股份有限公司,11099726,_	11099726,上市
1527,_1527,鑽全實業股份有限公司,20982120,_	20982120,上市
1528,_1528,恩德科技股份有限公司,11551634,_	11551634,上市
1529,_1529,樂事綠能科技股份有限公司,34211074,_	34211074,上市
1530,_1530,亞崴機電股份有限公司,22224692,_	22224692,上市
1531,_1531,高林股份有限公司,29538509,_	29538509,上市
1532,_1532,勤美股份有限公司,3474311,_	03474311,上市
1533,_1533,車王電子股份有限公司,4827138,_	04827138,上市
1535,_1535,中宇環保工程股份有限公司,84252401,_	84252401,上市
1536,_1536,和大工業股份有限公司,52264848,_	52264848,上市
1537,_1537,廣隆光電科技股份有限公司,23556563,_	23556563,上市
1538,_1538,正峰工業股份有限公司,44947686,_	44947686,上市
1539,_1539,巨庭機械股份有限公司,52646207,_	52646207,上市
1540,_1540,喬福機械工業股份有限公司,52903090,_	52903090,上市
1541,_1541,錩泰工業股份有限公司,23248433,_	23248433,上市
1550,_1550,台全電機股份有限公司,11824327,_	11824327,公開發行
1557,_1557,金豐機器工業股份有限公司,58303609,_	58303609,公開發行
1558,_1558,伸興工業股份有限公司,55754185,_	55754185,上市
1560,_1560,中國砂輪企業股份有限公司,3089008,_	03089008,上市
1563,_1563,巧新科技工業股份有限公司,84980915,_	84980915,興櫃
1565,_1565,精華光學股份有限公司,22195654,_	22195654,上櫃
1568,_1568,倉佑實業股份有限公司,66654986,_	66654986,上市
1569,_1569,濱川企業股份有限公司,76404919,_	76404919,上櫃
1570,_1570,力肯實業股份有限公司,36253534,_	36253534,上櫃
1580,_1580,新麥企業股份有限公司,12461082,_	12461082,上櫃
1582,_1582,信錦企業股份有限公司,35966577,_	35966577,上市
1583,_1583,程泰機械股份有限公司,52353530,_	52353530,上市
1584,_1584,精剛精密科技股份有限公司,80334042,_	80334042,上櫃
1585,_1585,鎧鉅科技股份有限公司,12642444,_	12642444,興櫃
1586,_1586,和勤精機股份有限公司,86985605,_	86985605,上櫃
1587,_1587,吉茂精密股份有限公司,24157564,_	24157564,上市
1589,_1589,永冠能源科技集團有限公司,41048746,_	41048746,上市
1590,_1590,亞德客國際集團,53666460,_	53666460,上市
1591,_1591,英屬開曼群島商駿吉控股(股)公司,53650116,_	53650116,上櫃
1592,_1592,英瑞國際股份有限公司,41134952,_	41134952,公開發行
1593,_1593,祺驊股份有限公司,97432341,_	97432341,上櫃
1594,_1594,日高工程實業股份有限公司,4938839,_	04938839,興櫃
1595,_1595,川寶科技股份有限公司,16860440,_	16860440,上櫃
1597,_1597,直得科技股份有限公司,16755427,_	16755427,上市
1598,_1598,岱宇國際股份有限公司,23751545,_	23751545,上市
1599,_1599,宏佳騰動力科技股份有限公司,80621419,_	80621419,上櫃
1602,_1602,太平洋電線電纜股份有限公司,3064800,_	03064800,公開發行
1603,_1603,中華電線電纜股份有限公司,35882520,_	35882520,上市
1604,_1604,聲寶股份有限公司,3607500,_	03607500,上市
1605,_1605,華新麗華股份有限公司,35412204,_	35412204,上市
1606,_1606,歌林股份有限公司,35451108,_	35451108,不繼續公開發行
1608,_1608,華榮電線電纜股份有限公司,79460007,_	79460007,上市
1609,_1609,大亞電線電纜股份有限公司,68035907,_	68035907,上市
1611,_1611,中國電器股份有限公司,3086001,_	03086001,上市
1612,_1612,宏泰電工股份有限公司,43125162,_	43125162,上市
1613,_1613,台一國際股份有限公司,34284955,_	34284955,公開發行
1614,_1614,台灣三洋電機股份有限公司,3564501,_	03564501,上市
1615,_1615,大山電線電纜股份有限公司,64829434,_	64829434,上市
1616,_1616,億泰電線電纜股份有限公司,22819700,_	22819700,上市
1617,_1617,榮星電線工業股份有限公司,73341336,_	73341336,上市
1618,_1618,合機電線電纜股份有限公司,23206102,_	23206102,上市
1619,_1619,大展電線電纜股份有限公司,5024240,_	05024240,公開發行
1626,_1626,艾美特(開曼)國際有限公司,34995738,_	34995738,上市
1701,_1701,中國化學製藥股份有限公司,3088802,_	03088802,上市
